relays,payload,messages
2,100000,0
2,100000,0
2,100000,0
2,100000,134
2,100000,152
2,100000,151
2,100000,135
2,100000,149
2,100000,170
2,100000,167
2,100000,155
2,100000,151
2,100000,138
2,100000,133
2,100000,144
2,100000,130
2,100000,149
2,1000000,0
2,1000000,0
2,1000000,0
2,1000000,20
2,1000000,21
2,1000000,23
2,1000000,24
2,1000000,22
2,1000000,23
2,1000000,21
2,1000000,20
2,1000000,21
2,1000000,21
2,1000000,22
2,1000000,22
2,1000000,22
2,1000000,23
2,10000000,0
2,10000000,0
2,10000000,0
2,10000000,1
2,10000000,3
2,10000000,2
2,10000000,3
2,10000000,2
2,10000000,3
2,10000000,2
2,10000000,3
2,10000000,2
2,10000000,2
2,10000000,3
2,10000000,2
2,10000000,3
2,10000000,2
3,0,0
3,0,0
3,0,0
3,0,0
3,0,151658
3,0,165591
3,0,172155
3,0,155529
3,0,163297
3,0,152855
3,0,153493
3,0,168021
3,0,156138
3,0,153604
3,0,143574
3,0,154252
3,0,137570
3,0,148747
3,1,0
3,1,0
3,1,0
3,1,0
3,1,126567
3,1,163688
3,1,154530
3,1,142634
3,1,136800
3,1,151595
3,1,146796
3,1,147325
3,1,154084
3,1,146969
3,1,138412
3,1,142215
3,1,169649
3,1,148711
3,10,0
3,10,0
3,10,0
3,10,0
3,10,155725
3,10,149749
3,10,144946
3,10,143847
3,10,144960
3,10,146448
3,10,144469
3,10,143306
3,10,146311
3,10,147207
3,10,144958
3,10,144759
3,10,144460
3,10,145861
3,100,0
3,100,0
3,100,0
3,100,0
3,100,92058
3,100,103884
3,100,100913
3,100,101813
3,100,101919
3,100,102449
3,100,100927
3,100,101079
3,100,101478
3,100,100896
3,100,103105
3,100,92979
3,100,81405
3,100,62468
3,1000,0
3,1000,0
3,1000,0
3,1000,0
3,1000,12287
3,1000,14215
3,1000,16731
3,1000,15701
3,1000,16869
3,1000,8917
3,1000,13790
3,1000,11449
3,1000,13864
3,1000,17844
3,1000,16746
3,1000,11789
3,1000,8625
3,1000,9029
3,10000,0
3,10000,0
3,10000,0
3,10000,0
3,10000,977
3,10000,1153
3,10000,1286
3,10000,1440
3,10000,1094
3,10000,1890
3,10000,901
3,10000,763
3,10000,1282
3,10000,1123
3,10000,1026
3,10000,1243
3,10000,951
3,10000,905
3,100000,0
3,100000,0
3,100000,0
3,100000,0
3,100000,121
3,100000,122
3,100000,127
3,100000,128
3,100000,133
3,100000,174
3,100000,192
3,100000,201
3,100000,201
3,100000,197
3,100000,140
3,100000,185
3,100000,184
3,100000,135
3,1000000,0
3,1000000,0
3,1000000,0
3,1000000,0
3,1000000,19
3,1000000,20
3,1000000,21
3,1000000,21
3,1000000,22
3,1000000,20
3,1000000,19
3,1000000,21
3,1000000,22
3,1000000,21
3,1000000,20
3,1000000,20
3,1000000,24
3,1000000,20
3,10000000,0
3,10000000,0
3,10000000,0
3,10000000,0
3,10000000,1
3,10000000,3
3,10000000,2
3,10000000,3
3,10000000,2
3,10000000,2
3,10000000,3
3,10000000,2
3,10000000,2
3,10000000,3
3,10000000,2
3,10000000,2
3,10000000,3
3,10000000,2
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,109876
4,0,134065
4,0,140400
4,0,131646
4,0,114396
4,0,132920
4,0,127422
4,0,132625
4,0,135804
4,0,139593
4,0,126694
4,0,132570
4,0,118571
4,0,133420
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,108049
4,1,137358
4,1,141582
4,1,125465
4,1,104518
4,1,129219
4,1,117332
4,1,124467
4,1,124660
4,1,128749
4,1,132888
4,1,142027
4,1,124433
4,1,131249
4,10,0
4,10,0
4,10,0
4,10,0
4,10,0
4,10,106588
4,10,109335
4,10,138011
4,10,128706
4,10,120690
4,10,129073
4,10,133686
4,10,140581
4,10,126680
4,10,127506
4,10,126237
4,10,119077
4,10,113934
4,10,118073
4,100,0
4,100,0
4,100,0
4,100,0
4,100,0
4,100,78017
4,100,79222
4,100,65921
4,100,78045
4,100,77820
4,100,75519
4,100,73936
4,100,66528
4,100,74730
4,100,75549
4,100,77976
4,100,76323
4,100,67137
